Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B157_1,B157_2,B212_1,B212_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B262_1,B262_2,B264_1,B264_2
C4800,125147,252,254,104,124,159,173,199,207,161,167,236,236,181,193,335,335,179,197,336,336,221,235
C4801,125147,248,264,128,128,163,163,211,217,164,167,215,223,171,177,341,343,169,183,330,336,227,227
C4802,125147,248,256,122,128,163,177,205,207,160,160,225,225,171,187,333,343,181,183,317,330,221,235
C4805,125147,248,260,124,134,159,159,199,203,157,161,215,215,183,185,333,333,187,187,330,344,235,237
C4806,125147,262,262,122,134,159,159,207,217,164,167,217,229,171,171,331,333,169,181,317,334,235,235
C4850,125147,256,270,104,130,167,181,211,217,157,167,221,245,170,183,331,341,169,187,317,338,221,229
C4748,126147,254,262,124,128,163,175,207,209,167,169,233,233,187,187,337,339,167,167,317,317,227,227
C4753,126147,256,260,120,128,165,165,199,199,158,161,225,225,185,187,327,341,169,169,317,336,235,237
C4754,126147,248,252,122,128,163,163,203,205,167,171,209,215,171,189,337,341,169,189,317,318,235,237
C4760,126147,256,276,104,104,163,187,205,205,169,171,217,217,185,187,333,333,187,189,317,317,235,237
C4761,126147,248,262,130,132,159,171,199,207,161,167,217,223,177,183,333,343,169,191,330,338,237,237
C4762,126147,268,268,104,104,165,165,203,207,167,167,219,240,171,187,335,335,183,187,317,317,235,235
C4791,126147,248,248,104,124,167,167,207,217,161,167,215,229,171,179,335,343,169,183,317,340,235,245
C4810,126147,252,272,122,136,165,175,199,207,160,166,233,233,177,189,327,333,185,187,340,340,235,237
C4812,126147,248,262,130,130,167,167,203,207,164,167,225,237,183,187,333,333,169,187,317,336,235,235
C4821,126147,248,262,104,120,165,171,205,207,167,171,233,233,177,177,337,341,183,187,336,336,225,225
C4864,126147,248,282,120,130,159,179,203,211,167,171,205,205,177,179,333,333,169,187,317,325,235,235
C4866,126147,254,262,130,130,159,165,207,209,167,169,237,237,181,183,331,333,169,169,334,334,227,227
C1722,126147,256,262,124,130,155,163,205,207,160,166,221,229,177,177,333,339,169,187,318,330,227,235
C1724,126147,248,252,104,124,165,167,207,207,168,169,215,225,171,187,339,343,187,189,344,356,221,235
C1725,126147,248,276,122,124,167,171,207,209,157,166,225,259,169,187,333,339,169,187,330,344,227,227
C1726,126147,248,252,120,128,165,167,207,209,157,169,211,215,171,187,329,335,187,189,318,356,231,231
C1731,126147,260,262,120,122,161,165,203,205,166,168,217,229,171,177,327,337,183,187,330,340,227,227
C1733,126147,252,262,130,130,163,171,207,215,157,166,233,233,177,183,0,0,177,183,326,340,221,235
C1734,126147,252,276,104,122,163,165,203,209,160,164,235,247,185,185,333,333,187,187,318,330,223,235
C1735,126147,252,284,115,130,161,167,199,209,166,166,203,223,171,179,333,341,169,187,326,340,221,221
C1738,126147,268,276,106,130,161,161,203,207,157,169,235,247,171,183,333,343,183,183,326,334,235,241
C1740,126147,248,248,122,122,171,171,207,213,166,166,229,237,171,177,333,341,181,183,326,330,0,0
C1741,126147,248,258,128,128,155,167,203,209,162,169,227,229,183,183,333,341,169,169,318,330,221,221
C1742,126147,276,280,122,130,163,173,201,211,157,164,215,247,181,185,333,339,183,187,318,358,223,235
C1743,126147,260,272,104,120,163,163,203,211,164,166,229,231,187,189,333,339,183,191,318,340,221,223
C1745,126147,252,258,128,130,165,171,203,203,160,166,233,235,171,171,331,337,169,177,316,354,227,239
C1746,126147,248,260,128,130,163,165,203,211,164,169,205,229,177,189,333,339,183,187,318,318,223,227
C1747,126147,254,272,128,136,163,165,203,207,160,160,221,221,169,187,327,335,169,187,316,318,221,227
C4742,126147,248,256,104,130,163,175,203,207,167,167,0,0,171,179,333,341,169,191,317,338,235,235
C4752,126147,248,254,128,136,155,163,203,209,167,167,217,217,181,187,339,343,189,189,330,334,221,227
C4792,126147,248,250,119,122,155,171,211,211,164,167,213,213,181,183,333,333,183,187,317,340,227,235
C4814,126147,252,276,122,136,155,163,203,211,167,173,211,237,177,185,331,335,169,179,317,317,221,221
C4815,126147,256,272,104,116,155,163,203,209,160,166,236,243,179,185,333,343,169,187,317,317,221,237
C4818,126147,248,248,104,130,159,163,207,209,164,167,213,213,177,177,339,339,169,183,325,340,227,235
C4819,126147,248,254,104,128,171,171,203,211,164,167,211,217,171,183,333,337,181,189,330,342,227,227
C4826,126147,258,272,104,124,161,171,205,207,162,164,233,247,171,179,333,337,183,191,317,317,235,235
C4829,126147,250,256,104,120,163,169,205,211,160,160,213,229,171,171,333,333,181,181,340,348,235,235
C4830,126147,248,256,104,120,155,163,203,211,164,171,213,213,171,179,327,331,169,183,330,330,235,235
C4831,126147,250,276,122,130,163,175,205,217,164,167,205,217,181,183,337,341,169,181,317,344,223,235
C4832,126147,250,260,104,124,163,171,207,207,164,167,215,221,183,189,335,341,169,172,334,334,235,235
C4858,126147,248,248,120,124,163,179,205,209,164,167,223,223,168,177,335,335,183,193,317,334,237,237
C4757,126147,260,272,104,130,163,181,207,219,161,167,213,225,177,177,339,339,183,187,317,318,221,229
C4770,126147,248,276,116,120,155,167,199,207,160,169,0,0,170,170,333,335,187,187,315,317,221,239
C4808,126147,256,276,128,130,159,181,207,221,158,161,215,215,183,185,333,335,172,187,315,336,223,237
C4809,126147,248,252,104,124,163,181,207,207,160,171,205,237,173,181,333,335,169,169,317,320,231,231
C4820,126147,262,274,124,124,163,163,207,217,162,167,223,223,177,181,327,327,169,183,326,326,221,223
C4824,126147,248,260,104,120,163,183,205,207,158,161,231,243,171,171,335,341,169,187,315,315,235,235
C4706,171188,252,272,104,120,163,171,203,211,164,164,215,229,171,185,333,337,187,187,330,340,221,235
C4708,171188,258,280,104,128,161,175,203,211,164,167,217,217,177,177,333,341,167,181,330,340,235,239
C4709,171188,248,254,130,132,165,179,207,209,158,169,231,231,171,189,333,333,181,183,315,340,235,235
C4714,171188,256,262,122,122,163,163,211,211,161,167,227,227,179,181,335,337,181,191,325,325,237,237
C4722,171188,248,260,104,130,163,163,199,203,158,158,215,217,171,177,337,341,183,183,317,344,235,235
C4726,171188,272,272,124,124,161,163,205,211,164,167,209,240,187,187,333,339,183,185,325,334,221,221
C4733,171188,248,256,124,130,175,175,207,211,167,167,213,221,177,193,331,333,181,193,317,317,235,235
C4734,171188,256,272,122,122,155,159,207,207,167,167,221,221,171,187,333,341,169,191,325,340,229,235
C4737,171188,254,258,124,130,159,165,211,211,158,158,211,231,179,189,335,337,183,191,315,317,221,235
C4882,171188,248,284,124,124,161,161,207,209,157,171,213,229,177,187,327,327,191,193,317,317,221,235
C4883,171188,258,258,128,130,163,165,203,203,167,167,219,227,187,193,331,335,189,191,317,317,235,235
C4702,171188,248,278,106,120,159,159,203,209,0,0,217,233,177,187,333,337,169,185,352,348,229,235
C4703,171188,248,248,104,130,161,179,207,211,158,158,215,217,177,177,327,331,177,183,315,317,221,237
C4727,171188,254,260,124,128,155,165,203,207,161,161,215,233,171,171,335,337,189,191,325,334,227,227
C4732,171188,260,268,128,128,155,161,203,209,158,167,215,219,171,185,333,335,187,191,317,344,221,239
C4735,171188,256,256,122,128,161,167,207,209,158,164,217,233,171,177,333,335,191,197,317,317,221,221
C4736,171188,248,278,122,132,179,179,203,207,167,167,215,215,183,185,333,335,169,191,317,340,221,221
C4746,171188,252,280,104,124,179,179,199,211,167,167,217,227,171,185,335,339,191,191,338,348,235,237
C4777,171188,272,274,128,130,161,167,201,207,160,166,221,236,179,181,333,337,183,183,317,344,215,221
C4846,171188,258,280,128,130,163,165,197,211,164,167,221,233,177,183,335,341,185,189,334,346,229,239
C4847,171188,248,252,130,130,161,161,207,211,158,167,233,237,171,179,335,341,169,183,317,330,223,227
C4884,171188,260,278,104,126,161,173,209,211,161,167,217,221,171,185,335,335,169,181,334,342,235,235
C4705,171188,248,252,104,122,161,165,213,217,158,161,205,229,181,185,333,341,169,187,315,317,221,221
C4711,171188,248,254,124,128,171,171,199,207,164,167,249,249,171,179,337,341,167,183,315,338,221,239
C4713,171188,278,278,104,104,163,171,205,207,158,169,0,0,181,193,327,333,183,183,325,338,221,235
C4716,171188,256,256,104,124,165,171,207,211,161,167,221,233,177,185,333,333,183,183,317,325,221,221
C4717,171188,248,258,122,122,159,159,203,205,161,161,215,215,177,185,335,339,183,183,318,325,227,237
C4719,171188,248,256,128,130,163,181,201,211,158,167,207,225,179,187,337,339,191,193,317,325,221,229
C4721,171188,248,272,122,128,155,163,203,211,161,167,217,217,179,183,333,339,179,181,330,340,235,235
C4729,171188,246,248,104,128,161,181,203,211,167,167,229,236,171,171,333,333,189,191,317,344,221,235
C4730,171188,254,238,128,130,163,165,203,203,167,167,215,215,177,185,341,341,183,187,317,344,221,237
C4773,171188,248,248,122,124,159,163,211,211,158,167,233,240,185,185,333,333,189,189,317,340,227,239
C4861,171188,248,280,120,130,161,165,205,211,164,167,207,233,177,183,331,333,169,183,334,342,229,229
C4890,171188,248,248,104,144,163,179,207,217,158,161,235,235,185,193,333,337,169,169,315,317,235,237
C4724,171188,248,262,120,124,167,179,209,211,164,167,217,233,185,185,341,345,183,187,317,342,227,237
C4738,171188,254,272,128,130,155,165,203,207,161,162,215,233,177,187,333,333,181,183,338,338,227,235
C4739,171188,248,274,124,124,155,155,207,217,161,171,221,239,171,177,339,339,169,183,317,340,227,235
C4844,171188,256,274,130,130,159,167,207,209,164,167,217,236,177,179,333,341,181,189,315,338,235,235
C4845,171188,254,258,120,130,163,171,203,209,164,167,215,227,183,185,331,333,183,193,325,340,235,237
C4681,171188,276,276,128,130,175,175,217,217,164,164,217,217,177,185,333,341,169,183,317,317,235,235
C4682,171188,250,250,128,136,155,167,207,217,169,169,211,221,187,187,333,333,183,191,325,340,221,239
C4683,171188,280,282,130,136,161,163,211,211,157,164,217,240,177,191,335,341,183,187,315,317,237,237
C4685,171188,248,256,120,120,163,183,203,203,157,167,217,217,171,187,333,333,169,183,317,317,235,237
C4715,171188,248,256,104,124,161,165,203,205,167,169,213,213,187,193,329,333,183,191,332,334,235,235
C4725,171188,274,274,124,132,161,163,199,209,161,169,213,225,179,189,333,333,169,169,317,325,221,235
C4799,171188,248,286,104,122,163,167,203,211,157,162,231,243,177,179,333,339,181,183,317,317,221,221
C4889,171188,248,268,104,130,175,179,207,207,161,167,217,233,177,189,343,343,169,187,317,317,0,0
C4151,9101113a,248,248,122,130,163,179,203,211,157,167,236,236,177,187,341,341,183,189,315,338,221,239
C4152,9101113a,248,248,122,130,159,163,203,209,158,167,233,233,183,187,333,343,183,191,336,336,221,239
C4153,9101113a,248,256,104,122,163,177,207,207,158,158,236,236,181,187,333,343,183,191,334,334,239,239
C4154,9101113a,248,280,120,120,163,179,205,205,158,167,213,236,183,187,0,0,169,183,0,0,221,239
C4157,9101113a,248,248,128,128,163,175,201,201,158,167,215,236,179,183,333,333,181,181,326,336,221,227
C4158,9101113a,248,256,104,130,159,163,203,203,161,167,217,233,183,183,333,341,189,189,338,338,221,221
C4165,9101113a,276,282,130,136,171,171,203,211,167,167,221,221,175,187,327,331,175,175,317,340,235,239
C4248,9101113a,0,0,130,130,163,177,203,205,160,166,217,217,183,183,327,339,181,181,317,330,221,229
C4254,9101113a,248,256,120,130,163,177,203,203,157,160,213,233,181,183,333,339,183,191,336,340,223,239
C4371,9101113a,258,258,122,122,177,177,203,207,160,166,233,233,183,189,335,335,181,183,317,317,0,0
C3936,9101113a,276,276,104,128,159,163,203,207,158,161,217,217,177,187,335,335,181,187,317,330,235,235
C3937,9101113a,248,254,124,130,163,163,203,203,162,167,213,213,177,177,331,343,189,189,317,340,237,237
C3944,9101113a,248,248,122,128,165,179,205,211,158,167,240,240,170,177,333,341,185,191,317,340,235,235
C3954,9101113a,254,272,124,128,177,177,203,205,160,160,217,240,177,183,327,343,169,181,317,317,227,237
C3955,9101113a,276,276,104,124,177,177,207,213,161,161,240,240,177,183,0,0,181,181,330,340,235,241
C3961,9101113a,278,278,104,130,163,163,203,217,167,167,231,231,177,179,335,343,183,189,317,317,239,239
C3974,9101113a,254,254,104,124,159,163,203,205,158,161,217,217,179,181,327,343,169,181,326,334,237,237
C4024,9101113a,248,248,128,128,155,163,207,219,158,161,231,231,177,187,335,341,185,185,326,336,235,239
C4025,9101113a,248,248,104,128,159,179,209,219,161,164,211,240,187,193,335,341,169,191,340,340,237,237
C4028,9101113a,282,282,124,124,163,163,203,217,158,161,213,221,177,187,329,343,183,187,317,338,227,235
C4032,9101113a,248,258,104,128,165,177,0,0,160,166,217,217,183,183,0,0,169,181,340,340,237,237
C4033,9101113a,0,0,104,130,163,175,0,0,160,166,212,240,177,179,333,333,169,169,317,317,239,239
C4034,9101113a,256,256,104,122,155,165,203,205,166,166,215,215,179,183,327,329,169,189,317,340,235,239
C4041,9101113a,0,0,104,122,163,167,203,205,157,166,221,221,183,189,333,339,187,187,315,315,221,239
C4043,9101113a,248,258,122,122,173,177,207,211,157,157,217,240,177,177,0,0,183,191,317,340,221,239
C4044,9101113a,254,254,122,130,169,173,0,0,157,166,217,240,177,187,329,341,183,183,318,330,235,235
C4045,9101113a,0,0,122,122,159,177,207,211,157,166,221,235,177,187,333,341,169,169,317,326,221,239
C4046,9101113a,248,248,122,122,165,177,0,0,166,166,215,240,177,189,333,333,189,189,317,326,237,237
C4047,9101113a,274,274,122,130,163,177,203,207,157,164,213,213,183,187,339,339,169,187,317,317,221,235
C4048,9101113a,274,274,104,122,165,175,0,0,157,166,240,240,183,189,333,339,169,183,313,340,221,221
C4055,9101113a,248,276,122,126,165,165,203,211,160,160,215,229,177,187,0,0,169,183,317,336,235,239
C4057,9101113a,256,276,126,126,165,177,211,219,157,166,213,223,177,181,0,0,183,191,317,317,0,0
C4059,9101113a,248,276,122,128,157,163,203,211,166,169,215,240,177,177,333,339,169,189,336,336,221,239
C4064,9101113a,248,248,124,128,163,177,211,211,160,160,209,229,177,183,0,0,185,193,317,344,227,227
C4067,9101113a,260,260,122,130,165,175,207,211,166,166,213,240,185,187,327,339,169,191,340,340,221,239
C4068,9101113a,0,0,104,120,159,171,207,217,156,160,212,217,170,177,327,333,183,187,334,340,221,221
C4070,9101113a,260,260,104,122,165,165,203,203,164,164,221,240,177,189,333,339,189,189,0,0,221,239
C4075,9101113a,0,0,104,124,155,165,207,207,158,166,193,213,177,177,329,341,169,185,0,0,221,239
C4081,9101113a,248,256,124,124,155,177,203,207,160,166,221,221,177,177,0,0,169,169,317,317,221,239
C4082,9101113a,260,272,122,130,163,177,203,207,160,166,213,213,177,177,335,343,183,187,317,317,223,239
C4083,9101113a,258,276,122,132,155,163,205,211,166,166,221,235,185,187,333,341,169,183,317,330,221,237
C4086,9101113a,256,276,124,124,159,163,203,207,160,166,225,225,183,187,333,343,183,187,317,340,221,239
C4088,9101113a,248,248,124,124,175,175,207,207,160,160,233,233,0,0,333,341,169,189,334,344,227,237
C4104,9101113a,254,276,104,126,159,163,203,203,158,158,213,213,183,187,337,341,187,187,317,344,221,239
C4108,9101113a,248,268,128,128,163,167,203,207,160,166,229,229,0,0,0,0,169,169,334,334,223,223
C4118,9101113a,256,256,128,134,159,159,205,205,160,160,221,225,177,187,335,335,169,189,325,340,221,221
C4131,9101113a,248,276,124,124,163,175,207,207,167,167,225,225,177,185,335,335,189,189,317,336,221,239
C4133,9101113a,264,280,104,128,177,177,205,211,160,160,223,229,177,183,333,333,185,189,318,318,221,239
C4135,9101113a,276,280,126,126,163,171,209,211,158,161,236,236,177,183,333,341,181,185,317,317,239,239
C4136,9101113a,254,254,122,122,159,163,205,205,167,167,247,247,177,177,341,341,169,169,336,346,235,235
C4137,9101113a,256,276,124,130,159,163,209,217,158,161,215,225,177,183,0,0,185,189,318,336,221,221
C4139,9101113a,276,276,120,128,155,179,203,203,158,161,217,229,177,187,341,341,169,183,315,336,239,239
C4167,9101113a,248,254,122,132,159,165,203,211,158,167,205,205,170,185,333,333,169,193,317,336,235,237
C4236,9101113a,248,248,124,124,159,177,205,211,160,166,235,237,179,183,333,333,183,191,317,336,235,237
C4237,9101113a,248,254,122,128,159,167,199,211,164,166,205,205,177,187,327,333,169,191,340,340,229,237
C4238,9101113a,248,256,122,128,165,175,203,217,160,164,239,239,170,183,331,339,187,189,340,340,235,241
C4241,9101113a,248,256,122,128,159,163,203,219,157,160,211,211,179,181,339,339,183,185,334,342,221,239
C4247,9101113a,0,0,128,128,163,163,203,211,157,166,223,223,177,183,333,339,189,191,338,344,227,239
C4252,9101113a,276,276,120,122,163,167,203,211,157,166,217,217,177,177,339,341,169,181,317,317,221,239
C4257,9101113a,248,248,122,124,165,177,203,207,160,166,217,217,177,193,333,341,187,187,326,334,221,235
C4383,9101113a,254,254,128,128,177,177,199,203,157,164,215,215,179,189,335,343,183,187,317,340,235,235
C4390,9101113a,256,276,104,104,161,177,199,205,160,160,239,239,170,187,341,343,169,181,317,317,235,235
C4514,9101113a,258,280,104,130,179,179,207,211,160,167,215,223,177,177,335,341,181,185,317,317,235,239
C4519,9101113a,254,282,104,136,171,179,205,205,169,169,217,240,177,181,331,331,187,187,317,336,223,239
C4534,9101113a,282,282,122,124,163,167,203,207,157,160,231,231,179,179,335,341,183,191,334,340,221,239
C4699,9101113a,248,276,122,124,159,165,203,203,158,167,219,240,185,187,331,333,169,189,317,340,227,227
C1541,9101113a,276,276,122,130,163,177,0,0,152,160,239,255,179,183,339,341,169,181,340,346,235,239
C1542,9101113a,276,278,122,124,163,177,203,207,152,166,0,0,179,179,333,339,169,187,340,340,235,239
C1544,9101113a,282,290,128,130,177,177,207,207,157,166,205,241,179,179,333,339,185,185,334,344,237,239
C1547,9101113a,248,248,104,124,155,165,207,217,160,166,231,241,177,185,333,339,169,169,334,340,0,0
C1553,9101113a,248,286,122,130,155,163,203,207,161,161,0,0,187,193,329,341,183,189,328,342,227,235
C1555,9101113a,276,286,128,130,163,177,217,219,157,160,209,233,177,177,339,339,185,187,318,336,0,0
C1557,9101113a,248,276,128,130,163,177,207,217,157,166,215,233,177,193,333,339,181,183,318,336,235,239
C1560,9101113a,248,286,128,130,163,177,203,217,160,160,239,259,177,185,333,333,181,183,328,336,235,239
C1562,9101113a,248,254,104,104,159,165,205,207,157,164,211,239,0,0,333,339,169,191,0,0,237,237
C1565,9101113a,248,282,120,130,161,177,203,207,157,166,221,227,177,179,327,341,183,185,318,342,235,237
C1567,9101113a,248,278,124,130,163,177,203,219,157,160,215,221,177,185,333,339,183,185,318,328,235,239
C1569,9101113a,248,282,122,128,163,177,207,219,157,166,211,215,181,193,333,333,181,185,318,318,235,235
C1571,9101113a,274,282,130,130,163,177,207,209,157,166,233,239,177,187,329,339,169,183,328,334,239,239
C1576,9101113a,248,254,104,124,159,175,203,205,157,166,221,241,181,187,333,333,183,189,334,340,221,237
C1577,9101113a,248,280,124,130,165,177,203,205,166,166,0,0,177,181,333,333,169,191,334,340,227,235
C1579,9101113a,280,282,124,130,165,175,205,217,160,166,215,241,177,179,333,333,169,181,326,342,221,221
C3990,9101113b,248,248,104,120,163,163,203,203,161,167,215,240,170,183,343,343,169,169,330,340,239,239
C3991,9101113b,254,254,124,124,171,179,203,211,158,167,215,229,177,183,327,341,169,173,340,340,221,239
C3992,9101113b,272,272,104,122,155,171,203,203,158,161,229,229,170,177,343,343,173,187,317,317,221,239
C3994,9101113b,254,254,104,136,175,175,203,203,164,166,213,225,177,187,335,337,173,185,317,317,221,235
C4172,9101113b,254,278,104,122,163,171,203,209,161,167,233,233,185,185,327,343,189,193,325,338,221,235
C4173,9101113b,276,276,104,130,163,163,209,209,167,167,212,240,185,193,0,0,169,181,340,340,233,233
C4232,9101113b,276,276,104,106,177,177,203,203,160,166,0,0,170,183,339,341,183,189,325,340,235,235
C4234,9101113b,0,0,104,104,163,177,203,207,160,166,225,225,170,183,333,341,181,189,317,325,235,239
C4259,9101113b,276,276,128,130,175,175,203,205,157,166,221,221,177,177,333,339,169,191,317,317,221,239
C4260,9101113b,276,276,104,122,163,175,203,213,160,166,213,213,177,179,341,341,185,187,330,340,221,237
C4261,9101113b,0,0,122,122,163,165,203,203,166,166,213,213,187,193,331,333,185,193,334,340,223,223
C4262,9101113b,248,248,124,130,155,165,217,217,157,160,239,239,170,185,331,333,173,183,326,336,221,239
C4263,9101113b,248,248,130,132,163,177,207,207,160,166,215,215,183,187,339,341,169,189,318,336,239,239
C4266,9101113b,272,272,124,130,155,177,207,219,157,166,239,239,183,185,331,339,173,189,325,326,221,227
C4267,9101113b,0,0,104,130,177,177,207,211,160,166,215,215,170,187,341,341,169,179,317,317,221,237
C4269,9101113b,248,248,122,122,175,175,203,205,157,160,213,213,183,187,331,337,183,183,317,317,235,239
C4272,9101113b,248,248,128,134,159,177,205,209,160,160,239,239,183,187,333,339,183,185,315,317,221,221
C4276,9101113b,262,262,104,104,163,163,215,215,160,166,0,0,183,187,333,339,169,189,315,326,235,235
C4278,9101113b,248,256,122,128,159,171,211,213,160,166,223,223,183,187,331,341,181,181,325,340,239,239
C4279,9101113b,254,260,104,130,171,177,203,205,160,166,205,205,177,181,341,341,169,189,325,326,235,235
C4280,9101113b,248,254,122,130,161,171,203,205,166,166,213,213,181,185,333,341,169,181,317,317,237,239
C4281,9101113b,248,248,106,122,163,165,203,219,157,160,221,221,170,177,333,333,169,189,317,317,235,235
C4282,9101113b,248,274,120,128,157,159,199,203,160,166,217,227,179,183,327,327,183,189,317,317,221,235
C4284,9101113b,248,248,104,128,159,177,203,203,157,166,217,217,177,183,0,0,183,189,317,317,237,239
C4286,9101113b,248,254,104,106,161,167,203,211,157,164,0,0,177,177,333,341,183,189,325,326,235,239
C4287,9101113b,248,258,104,128,161,161,203,205,157,166,213,213,177,177,331,333,183,189,326,340,235,239
C4289,9101113b,262,276,120,124,165,177,207,211,166,166,0,0,177,181,329,341,183,187,315,338,235,235
C4290,9101113b,262,272,120,122,163,165,207,207,160,166,215,215,177,185,329,333,179,183,315,315,237,237
C4307,9101113b,254,264,104,104,165,171,195,205,160,166,0,0,177,177,0,0,185,189,330,330,239,239
C4310,9101113b,272,272,120,130,155,175,217,219,160,164,217,217,170,177,339,339,185,187,315,317,0,0
C4311,9101113b,276,276,120,120,155,165,203,219,160,160,0,0,181,185,333,333,185,187,0,0,221,227
C4312,9101113b,262,262,120,128,177,177,203,219,164,166,217,217,170,183,333,333,181,185,330,330,239,243
C4314,9101113b,248,266,104,106,175,175,211,219,160,160,215,225,177,183,333,333,187,189,330,334,237,239
C4318,9101113b,248,258,128,128,163,179,203,203,157,160,0,0,177,179,339,339,181,183,332,332,221,221
C4321,9101113b,248,254,104,104,163,171,205,217,160,164,213,231,170,183,0,0,185,187,325,325,221,237
C4323,9101113b,258,258,104,104,163,171,203,203,160,164,215,231,170,181,333,333,169,193,0,0,235,237
C4324,9101113b,256,256,104,122,163,177,205,205,160,166,239,239,177,183,335,341,169,181,315,317,227,233
C4334,9101113b,254,258,124,128,177,177,205,217,160,164,223,231,170,187,335,335,183,185,317,330,239,239
C4529,9101113b,254,280,106,128,163,179,207,207,160,166,225,237,183,183,335,335,183,187,317,318,235,239
C1582,9101113b,262,282,104,122,155,163,203,205,157,166,221,239,177,183,0,0,181,185,318,340,235,237
C1583,9101113b,248,282,122,156,163,171,203,211,166,166,217,259,171,177,329,339,169,189,330,340,237,239
C1584,9101113b,272,282,128,130,163,163,205,217,160,166,0,0,183,183,333,341,169,181,318,328,237,239
C1585,9101113b,272,282,124,126,163,175,205,217,160,160,217,223,177,183,333,335,169,181,318,340,239,239
C1586,9101113b,280,282,128,156,163,163,203,217,160,166,215,223,183,189,337,341,181,185,316,318,227,239
C1589,9101113b,248,248,104,120,165,175,203,217,157,160,217,217,177,183,333,333,183,185,340,340,235,237
C1591,9101113b,248,258,128,128,163,177,203,211,160,166,213,239,177,183,329,343,169,185,340,340,221,235
C1592,9101113b,248,280,124,156,155,177,205,211,160,160,213,215,177,183,333,339,173,183,332,340,235,239
C1594,9101113b,258,262,120,156,175,177,203,211,164,166,215,215,177,181,333,341,185,187,340,340,227,237
C1597,9101113b,272,276,120,120,163,177,203,207,157,166,221,239,183,187,0,0,185,187,334,342,235,235
C1598,9101113b,248,280,104,120,163,177,203,217,160,160,0,0,177,183,333,335,183,185,338,338,227,237
C1599,9101113b,280,280,104,124,163,177,203,205,160,166,213,259,183,183,335,339,183,183,326,332,221,237
C1601,9101113b,248,276,104,130,155,163,203,207,157,166,215,217,177,185,333,333,181,185,338,340,229,239
C1605,9101113b,254,272,122,140,163,171,209,211,160,160,213,217,177,187,327,335,183,189,316,318,221,221
C1609,9101113b,280,282,120,126,163,177,211,217,160,166,213,223,183,183,333,343,181,183,318,340,237,237
C1610,9101113b,276,280,124,130,175,177,205,207,166,166,213,235,171,183,333,339,169,183,332,334,235,237
C1611,9101113b,248,260,104,122,165,165,203,203,160,166,215,259,177,179,327,333,189,191,348,350,221,221
C1612,9101113b,260,280,122,130,165,175,203,207,160,166,235,259,177,177,333,339,169,189,336,350,239,239
