"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B264_1","B264_2"
"528","C4804","125147",-79.52481132,43.89895733,256,274,104,104,163,163,211,211,179,189,333,343,187,191,235,235
"530","C4806","125147",-79.51682335,43.93481398,262,262,122,134,159,159,207,217,171,171,331,333,169,181,235,235
"531","C4850","125147",-79.19501845,43.84747654,256,270,104,130,167,181,211,217,170,183,331,341,169,187,221,229
"532","C4748","126147",-79.99760478,44.21683336,254,262,124,128,163,175,207,209,187,187,337,339,167,167,227,227
"533","C4753","126147",-79.99758422,44.21140429,256,260,120,128,165,165,199,199,185,187,327,341,169,169,235,237
"534","C4754","126147",-79.99766268,44.2097304,248,252,122,128,163,163,203,205,171,189,337,341,169,189,235,237
"535","C4760","126147",-80.18270251,44.27838531,256,276,104,104,163,187,205,205,185,187,333,333,187,189,235,237
"536","C4761","126147",-80.24932118,44.40611723,248,262,130,132,159,171,199,207,177,183,333,343,169,191,237,237
"537","C4762","126147",-80.19230551,44.29456904,268,268,104,104,165,165,203,207,171,187,335,335,183,187,235,235
"538","C4791","126147",-80.01063824,44.26156632,248,248,104,124,167,167,207,217,171,179,335,343,169,183,235,245
"539","C4810","126147",-80.03877112,44.21879875,252,272,122,136,165,175,199,207,177,189,327,333,185,187,235,237
"540","C4812","126147",-80.27188675,44.42960766,248,262,130,130,167,167,203,207,183,187,333,333,169,187,235,235
"541","C4816","126147",-79.99193488,43.99475317,248,260,104,116,163,179,207,207,171,181,333,335,183,187,237,237
"542","C4821","126147",-80.20816941,44.33879475,248,262,104,120,165,171,205,207,177,177,337,341,183,187,225,225
"544","C4866","126147",-80.27619625,44.42858172,254,262,130,130,159,165,207,209,181,183,331,333,169,169,227,227
"545","C1722","126147",-80.2638593,44.406518,256,262,124,130,155,163,205,207,177,177,333,339,169,187,227,235
"546","C1724","126147",-80.2620054,44.4081265,248,252,104,124,165,167,207,207,171,187,339,343,187,189,221,235
"547","C1725","126147",-80.2620182,44.4081086,248,276,122,124,167,171,207,209,169,187,333,339,169,187,227,227
"548","C1726","126147",-80.2621315,44.4080913,248,252,120,128,165,167,207,209,171,187,329,335,187,189,231,231
"550","C1728","126147",-80.2619041,44.4081979,248,254,104,124,155,167,207,209,187,187,329,335,169,187,221,235
"551","C1731","126147",-80.2613993,44.4083837,260,262,120,122,161,165,203,205,171,177,327,337,183,187,227,227
"552","C1733","126147",-80.2607591,44.4093608,252,262,130,130,163,171,207,215,177,183,0,0,177,183,221,235
"554","C1735","126147",-80.2605197,44.4094223,252,284,115,130,161,167,199,209,171,179,333,341,169,187,221,221
"555","C1738","126147",-80.2617352,44.4096372,268,276,106,130,161,161,203,207,171,183,333,343,183,183,235,241
"557","C1740","126147",-80.2592039,44.4091887,248,248,122,122,171,171,207,213,171,177,333,341,181,183,0,0
"558","C1741","126147",-80.259256,44.409036,248,258,128,128,155,167,203,209,183,183,333,341,169,169,221,221
"559","C1742","126147",-80.2453954,44.3988801,276,280,122,130,163,173,201,211,181,185,333,339,183,187,223,235
"560","C1743","126147",-80.2454586,44.3988445,260,272,104,120,163,163,203,211,187,189,333,339,183,191,221,223
"561","C1745","126147",-80.2458144,44.399495,252,258,128,130,165,171,203,203,171,171,331,337,169,177,227,239
"562","C1746","126147",-80.2452011,44.3993379,248,260,128,130,163,165,203,211,177,189,333,339,183,187,223,227
"563","C1747","126147",-80.2445025,44.3989822,254,272,128,136,163,165,203,207,169,187,327,335,169,187,221,227
"564","C4742","126147",-79.74743543,43.40849548,248,256,104,130,163,175,203,207,171,179,333,341,169,191,235,235
"566","C4752","126147",-79.97113998,43.20546921,248,254,128,136,155,163,203,209,181,187,339,343,189,189,221,227
"567","C4792","126147",-79.89117321,43.24505376,248,250,119,122,155,171,211,211,181,183,333,333,183,187,227,235
"568","C4793","126147",-79.89070996,43.24478814,250,254,104,124,159,171,211,211,179,181,331,341,181,193,227,235
"570","C4814","126147",-79.8782074,43.42304455,252,276,122,136,155,163,203,211,177,185,331,335,169,179,221,221
"571","C4815","126147",-79.89308186,43.41893947,256,272,104,116,155,163,203,209,179,185,333,343,169,187,221,237
"573","C4818","126147",-79.89117534,43.24507179,248,248,104,130,159,163,207,209,177,177,339,339,169,183,227,235
"574","C4819","126147",-79.89266101,43.2445189,248,254,104,128,171,171,203,211,171,183,333,337,181,189,227,227
"575","C4826","126147",-79.92898935,43.77108846,258,272,104,124,161,171,205,207,171,179,333,337,183,191,235,235
"577","C4830","126147",-79.89100219,43.24429572,248,256,104,120,155,163,203,211,171,179,327,331,169,183,235,235
"578","C4831","126147",-79.8869725,43.245076,250,276,122,130,163,175,205,217,181,183,337,341,169,181,223,235
"579","C4832","126147",-79.89037471,43.24357827,250,260,104,124,163,171,207,207,183,189,335,341,169,172,235,235
"580","C4858","126147",-79.9101369,43.47629856,248,248,120,124,163,179,205,209,168,177,335,335,183,193,237,237
"581","C4757","126147",-80.01076233,43.93495433,260,272,104,130,163,181,207,219,177,177,339,339,183,187,221,229
"582","C4770","126147",-79.96523778,43.95642971,248,276,116,120,155,167,199,207,170,170,333,335,187,187,221,239
"583","C4808","126147",-79.92179422,43.91962667,256,276,128,130,159,181,207,221,183,185,333,335,172,187,223,237
"585","C4820","126147",-79.95011389,43.94329064,262,274,124,124,163,163,207,217,177,181,327,327,169,183,221,223
"586","C4824","126147",-79.9097247,43.91074265,248,260,104,120,163,183,205,207,171,171,335,341,169,187,235,235
"587","C4706","171188",-76.37702413,45.11617148,252,272,104,120,163,171,203,211,171,185,333,337,187,187,221,235
"588","C4708","171188",-75.83995332,45.29375657,258,280,104,128,161,175,203,211,177,177,333,341,167,181,235,239
"589","C4709","171188",-75.92347576,45.27891641,248,254,130,132,165,179,207,209,171,189,333,333,181,183,235,235
"590","C4714","171188",-76.08621699,45.14720434,256,262,122,122,163,163,211,211,179,181,335,337,181,191,237,237
"591","C4722","171188",-75.78849281,45.35713338,248,260,104,130,163,163,199,203,171,177,337,341,183,183,235,235
"592","C4726","171188",-75.94849913,45.41467734,272,272,124,124,161,163,205,211,187,187,333,339,183,185,221,221
"593","C4733","171188",-75.93459065,45.34237621,248,256,124,130,175,175,207,211,177,193,331,333,181,193,235,235
"594","C4734","171188",-76.49107657,45.00961571,256,272,122,122,155,159,207,207,171,187,333,341,169,191,229,235
"595","C4737","171188",-75.92020752,45.28023001,254,258,124,130,159,165,211,211,179,189,335,337,183,191,221,235
"598","C4882","171188",-75.93164141,45.34155417,248,284,124,124,161,161,207,209,177,187,327,327,191,193,221,235
"599","C4883","171188",-75.78792824,45.35601211,258,258,128,130,163,165,203,203,187,193,331,335,189,191,235,235
"600","C4702","171188",-75.66162342,45.05074094,248,278,106,120,159,159,203,209,177,187,333,337,169,185,229,235
"601","C4703","171188",-75.71606299,45.19697879,248,248,104,130,161,179,207,211,177,177,327,331,177,183,221,237
"602","C4723","171188",-75.83389357,44.78405235,254,266,128,130,161,175,211,211,187,193,333,337,169,183,235,235
"603","C4727","171188",-75.86220774,44.68202564,254,260,124,128,155,165,203,207,171,171,335,337,189,191,227,227
"604","C4732","171188",-75.8623339,44.68202469,260,268,128,128,155,161,203,209,171,185,333,335,187,191,221,239
"605","C4735","171188",-75.86196207,44.68247761,256,256,122,128,161,167,207,209,171,177,333,335,191,197,221,221
"606","C4736","171188",-75.64864662,45.26730573,248,278,122,132,179,179,203,207,183,185,333,335,169,191,221,221
"607","C4746","171188",-75.73908993,45.2605182,252,280,104,124,179,179,199,211,171,185,335,339,191,191,235,237
"608","C4777","171188",-75.68052885,45.44847076,272,274,128,130,161,167,201,207,179,181,333,337,183,183,215,221
"609","C4846","171188",-76.24268815,44.7682094,258,280,128,130,163,165,197,211,177,183,335,341,185,189,229,239
"610","C4847","171188",-76.0799642,44.72291725,248,252,130,130,161,161,207,211,171,179,335,341,169,183,223,227
"611","C4884","171188",-75.65992845,45.40029986,260,278,104,126,161,173,209,211,171,185,335,335,169,181,235,235
"612","C4701","171188",-75.54946212,45.0079916,252,272,122,124,155,181,207,209,185,187,335,335,169,169,221,235
"613","C4705","171188",-75.44020805,45.25810961,248,252,104,122,161,165,213,217,181,185,333,341,169,187,221,221
"614","C4711","171188",-74.99104377,45.47752823,248,254,124,128,171,171,199,207,171,179,337,341,167,183,221,239
"615","C4713","171188",-74.61182669,45.54977809,278,278,104,104,163,171,205,207,181,193,327,333,183,183,221,235
"616","C4716","171188",-75.38013952,44.83822696,256,256,104,124,165,171,207,211,177,185,333,333,183,183,221,221
"617","C4717","171188",-75.49989121,45.06281569,248,258,122,122,159,159,203,205,177,185,335,339,183,183,227,237
"618","C4719","171188",-75.29913656,44.9744802,248,256,128,130,163,181,201,211,179,187,337,339,191,193,221,229
"619","C4721","171188",-75.53305939,45.01810647,248,272,122,128,155,163,203,211,179,183,333,339,179,181,235,235
"620","C4729","171188",-75.55312831,45.2958929,246,248,104,128,161,181,203,211,171,171,333,333,189,191,221,235
"621","C4730","171188",-74.89517401,45.2214814,254,238,128,130,163,165,203,203,177,185,341,341,183,187,221,237
"622","C4763","171188",-75.57449071,44.9728959,248,272,124,130,159,167,203,207,177,183,331,333,169,187,235,235
"623","C4773","171188",-75.56429271,44.96754556,248,248,122,124,159,163,211,211,185,185,333,333,189,189,227,239
"624","C4861","171188",-75.38454829,44.84099388,248,280,120,130,161,165,205,211,177,183,331,333,169,183,229,229
"625","C4890","171188",-74.45861567,45.42330945,248,248,104,144,163,179,207,217,185,193,333,337,169,169,235,237
"627","C4724","171188",-75.90493036,44.57312494,248,262,120,124,167,179,209,211,185,185,341,345,183,187,227,237
"628","C4738","171188",-76.13029846,44.53663678,254,272,128,130,155,165,203,207,177,187,333,333,181,183,227,235
"629","C4739","171188",-75.70478233,44.61644236,248,274,124,124,155,155,207,217,171,177,339,339,169,183,227,235
"632","C4844","171188",-76.02606367,44.50848827,256,274,130,130,159,167,207,209,177,179,333,341,181,189,235,235
"633","C4845","171188",-76.0265423,44.50851998,254,258,120,130,163,171,203,209,183,185,331,333,183,193,235,237
"634","C4680","171188",-74.458859,45.037651,272,280,120,124,167,171,205,205,171,185,333,341,169,191,237,237
"635","C4681","171188",-74.455706,45.041008,276,276,128,130,175,175,217,217,177,185,333,341,169,183,235,235
"636","C4682","171188",-74.455007,45.040403,250,250,128,136,155,167,207,217,187,187,333,333,183,191,221,239
"638","C4685","171188",-74.459549,45.036437,248,256,120,120,163,183,203,203,171,187,333,333,169,183,235,237
"641","C4712","171188",-75.05832275,44.95902259,248,272,104,132,159,159,205,207,173,183,327,333,169,191,235,237
"642","C4715","171188",-75.27344316,44.87048992,248,256,104,124,161,165,203,205,187,193,329,333,183,191,235,235
"643","C4725","171188",-74.88881215,45.21805479,274,274,124,132,161,163,199,209,179,189,333,333,169,169,221,235
"644","C4728","171188",-75.18315988,44.90753401,248,252,122,128,157,179,203,209,185,193,333,333,169,183,227,227
"646","C4799","171188",-74.74346727,45.08723335,248,286,104,122,163,167,203,211,177,179,333,339,181,183,221,221
"647","C4889","171188",-74.51961231,45.34045502,248,268,104,130,175,179,207,207,177,189,343,343,169,187,0,0
"648","C4151","9101113a",-66.49139,45.85282,248,248,122,130,163,179,203,211,177,187,341,341,183,189,221,239
"649","C4152","9101113a",-66.49198,45.85253,248,248,122,130,159,163,203,209,183,187,333,343,183,191,221,239
"650","C4153","9101113a",-66.4926,45.85251,248,256,104,122,163,177,207,207,181,187,333,343,183,191,239,239
"651","C4154","9101113a",-66.49263,45.85255,248,280,120,120,163,179,205,205,183,187,0,0,169,183,221,239
"652","C4155","9101113a",-66.49258,45.85262,248,280,128,128,159,163,203,209,183,183,333,341,187,191,235,239
"654","C4157","9101113a",-66.49394,45.85294,248,248,128,128,163,175,201,201,179,183,333,333,181,181,221,227
"656","C4159","9101113a",-66.49464,45.85323,248,276,104,122,159,165,203,209,177,183,333,341,183,191,221,239
"658","C4161","9101113a",-66.49532,45.85361,248,258,104,122,157,163,205,205,177,187,0,0,189,189,237,237
"660","C4163","9101113a",-66.49554,45.85373,248,276,122,122,159,179,205,205,183,187,335,343,181,191,221,239
"662","C4165","9101113a",-66.50516,45.86591,276,282,130,136,171,171,203,211,175,187,327,331,175,175,235,239
"663","C4248","9101113a",-66.53136,45.78881,0,0,130,130,163,177,203,205,183,183,327,339,181,181,221,229
"665","C4371","9101113a",-66.53119,45.78853,258,258,122,122,177,177,203,207,183,189,335,335,181,183,0,0
"668","C3936","9101113a",-66.42884,45.8931,276,276,104,128,159,163,203,207,177,187,335,335,181,187,235,235
"671","C3944","9101113a",-66.36237,45.8847,248,248,122,128,165,179,205,211,170,177,333,341,185,191,235,235
"675","C3954","9101113a",-66.35604,45.8932,254,272,124,128,177,177,203,205,177,183,327,343,169,181,227,237
"676","C3955","9101113a",-66.35604,45.8932,276,276,104,124,177,177,207,213,177,183,0,0,181,181,235,241
"677","C3961","9101113a",-66.298742,45.883303,278,278,104,130,163,163,203,217,177,179,335,343,183,189,239,239
"682","C3973","9101113a",-66.42385,45.89117,248,248,124,136,155,167,203,211,177,187,335,343,169,183,237,237
"686","C3977","9101113a",-66.27182,45.89287,248,254,104,124,155,179,203,209,179,181,335,343,187,191,239,239
"688","C4024","9101113a",-66.307246,45.888071,248,248,128,128,155,163,207,219,177,187,335,341,185,185,235,239
"689","C4025","9101113a",-66.307106,45.887797,248,248,104,128,159,179,209,219,187,193,335,341,169,191,237,237
"692","C4028","9101113a",-66.307648,45.888005,282,282,124,124,163,163,203,217,177,187,329,343,183,187,227,235
"697","C4033","9101113a",-66.303377,45.886851,0,0,104,130,163,175,0,0,177,179,333,333,169,169,239,239
"698","C4034","9101113a",-66.300982,45.885406,256,256,104,122,155,165,203,205,179,183,327,329,169,189,235,239
"700","C4039","9101113a",-66.493343,45.858093,248,248,122,128,163,163,205,209,170,177,333,339,169,179,237,237
"701","C4041","9101113a",-66.494987,45.859409,0,0,104,122,163,167,203,205,183,189,333,339,187,187,221,239
"702","C4042","9101113a",-66.496167,45.859494,0,0,122,130,165,165,203,205,179,189,0,0,169,189,221,239
"703","C4043","9101113a",-66.501968,45.864037,248,258,122,122,173,177,207,211,177,177,0,0,183,191,221,239
"707","C4047","9101113a",-66.493861,45.857583,274,274,122,130,163,177,203,207,183,187,339,339,169,187,221,235
"708","C4048","9101113a",-66.496083,45.859722,274,274,104,122,165,175,0,0,183,189,333,339,169,183,221,221
"716","C4059","9101113a",-66.48981,45.85624,248,276,122,128,157,163,203,211,177,177,333,339,169,189,221,239
"721","C4067","9101113a",-66.48995,45.8561,260,260,122,130,165,175,207,211,185,187,327,339,169,191,221,239
"722","C4068","9101113a",-66.49078,45.85688,0,0,104,120,159,171,207,217,170,177,327,333,183,187,221,221
"738","C4082","9101113a",-66.48364,45.85434,260,272,122,130,163,177,203,207,177,177,335,343,183,187,223,239
"739","C4083","9101113a",-66.48415,45.85434,258,276,122,132,155,163,205,211,185,187,333,341,169,183,221,237
"742","C4086","9101113a",-66.48022,45.85249,256,276,124,124,159,163,203,207,183,187,333,343,183,187,221,239
"744","C4088","9101113a",-66.48029,45.85262,248,248,124,124,175,175,207,207,0,0,333,341,169,189,227,237
"752","C4097","9101113a",-66.48503,45.85472,248,248,120,130,155,167,203,217,177,177,343,343,169,181,221,239
"754","C4099","9101113a",-66.4855,45.85455,254,254,104,124,0,0,203,203,183,183,327,333,187,187,235,235
"779","C4127","9101113a",-66.4799,45.85241,248,276,124,124,155,163,203,203,177,185,335,335,169,187,221,227
"785","C4133","9101113a",-66.48794,45.85509,264,280,104,128,177,177,205,211,177,183,333,333,185,189,221,239
"787","C4135","9101113a",-66.48776,45.85534,276,280,126,126,163,171,209,211,177,183,333,341,181,185,239,239
"796","C4144","9101113a",-66.48889,45.8527,248,248,104,122,155,159,205,205,170,187,333,333,169,183,0,0
"801","C4167","9101113a",-66.22143,46.06123,248,254,122,132,159,165,203,211,170,185,333,333,169,193,235,237
"802","C4236","9101113a",-66.36519,45.89359,248,248,124,124,159,177,205,211,179,183,333,333,183,191,235,237
"803","C4237","9101113a",-66.36536,45.89288,248,254,122,128,159,167,199,211,177,187,327,333,169,191,229,237
"804","C4238","9101113a",-66.36349,45.89005,248,256,122,128,165,175,203,217,170,183,331,339,187,189,235,241
"805","C4239","9101113a",-66.36403,45.8926,248,248,124,128,159,177,203,203,170,170,333,339,169,189,221,239
"807","C4241","9101113a",-66.36111,45.88865,248,256,122,128,159,163,203,219,179,181,339,339,183,185,221,239
"811","C4247","9101113a",-66.29263,45.87758,0,0,128,128,163,163,203,211,177,183,333,339,189,191,227,239
"818","C4256","9101113a",-66.29688,45.8814,248,248,104,128,165,175,203,217,179,185,333,339,169,187,221,239
"819","C4257","9101113a",-66.28997,45.87606,248,248,122,124,165,177,203,207,177,193,333,341,187,187,221,235
"836","C4390","9101113a",-66.49261,45.88464,256,276,104,104,161,177,199,205,170,187,341,343,169,181,235,235
"867","C4534","9101113a",-66.3638,45.88848,282,282,122,124,163,167,203,207,179,179,335,341,183,191,221,239
"870","C4699","9101113a",-66.38107,45.88245,248,276,122,124,159,165,203,203,185,187,331,333,169,189,227,227
"871","C4700","9101113a",-66.38047,45.88568,248,254,104,104,163,177,217,219,177,183,333,333,181,185,227,239
"873","C1542","9101113a",-66.2996161,45.8859133,276,278,122,124,163,177,203,207,179,179,333,339,169,187,235,239
"875","C1544","9101113a",-66.3008952,45.8855835,282,290,128,130,177,177,207,207,179,179,333,339,185,185,237,239
"883","C1553","9101113a",-66.3032891,45.8864501,248,286,122,130,155,163,203,207,187,193,329,341,183,189,227,235
"887","C1557","9101113a",-66.3051282,45.8873306,248,276,128,130,163,177,207,217,177,193,333,339,181,183,235,239
"890","C1560","9101113a",-66.3066797,45.8877632,248,286,128,130,163,177,203,217,177,185,333,333,181,183,235,239
"897","C1567","9101113a",-66.3093678,45.8878806,248,278,124,130,163,177,203,219,177,185,333,339,183,185,235,239
"899","C1569","9101113a",-66.3106213,45.8880812,248,282,122,128,163,177,207,219,181,193,333,333,181,185,235,235
"905","C1576","9101113a",-66.3129533,45.887299,248,254,104,124,159,175,203,205,181,187,333,333,183,189,221,237
"906","C1577","9101113a",-66.3140508,45.8859207,248,280,124,130,165,177,203,205,177,181,333,333,169,191,227,235
"908","C1579","9101113a",-66.3126454,45.8859326,280,282,124,130,165,175,205,217,177,179,333,333,169,181,221,221
"909","C3990","9101113b",-66.669269,45.963994,248,248,104,120,163,163,203,203,170,183,343,343,169,169,239,239
"910","C3991","9101113b",-66.667105,45.96427,254,254,124,124,171,179,203,211,177,183,327,341,169,173,221,239
"911","C3992","9101113b",-66.667009,45.964323,272,272,104,122,155,171,203,203,170,177,343,343,173,187,221,239
"913","C3994","9101113b",-66.668267,45.964183,254,254,104,136,175,175,203,203,177,187,335,337,173,185,221,235
"915","C4172","9101113b",-66.69308,45.98742,254,278,104,122,163,171,203,209,185,185,327,343,189,193,221,235
"916","C4173","9101113b",-66.6918,45.98801,276,276,104,130,163,163,209,209,185,193,0,0,169,181,233,233
"918","C4232","9101113b",-66.64687,45.9617,276,276,104,106,177,177,203,203,170,183,339,341,183,189,235,235
"920","C4259","9101113b",-66.78109,45.96775,276,276,128,130,175,175,203,205,177,177,333,339,169,191,221,239
"921","C4260","9101113b",-66.78146,45.96796,276,276,104,122,163,175,203,213,177,179,341,341,185,187,221,237
"922","C4261","9101113b",-66.76376,45.96838,0,0,122,122,163,165,203,203,187,193,331,333,185,193,223,223
"923","C4262","9101113b",-66.75617,45.96694,248,248,124,130,155,165,217,217,170,185,331,333,173,183,221,239
"924","C4263","9101113b",-66.75663,45.96708,248,248,130,132,163,177,207,207,183,187,339,341,169,189,239,239
"927","C4266","9101113b",-66.75691,45.96753,272,272,124,130,155,177,207,219,183,185,331,339,173,189,221,227
"930","C4269","9101113b",-66.74807,45.9665,248,248,122,122,175,175,203,205,183,187,331,337,183,183,235,239
"933","C4272","9101113b",-66.74092,45.96669,248,248,128,134,159,177,205,209,183,187,333,339,183,185,221,221
"935","C4274","9101113b",-66.72433,45.96772,256,256,122,122,155,177,215,215,181,187,327,333,181,187,235,235
"937","C4276","9101113b",-66.72677,45.96781,262,262,104,104,163,163,215,215,183,187,333,339,169,189,235,235
"938","C4277","9101113b",-66.72535,45.96781,248,256,104,122,161,161,205,215,183,183,331,337,185,187,235,239
"939","C4278","9101113b",-66.71777,45.96761,248,256,122,128,159,171,211,213,183,187,331,341,181,181,239,239
"941","C4280","9101113b",-66.71599,45.96762,248,254,122,130,161,171,203,205,181,185,333,341,169,181,237,239
"942","C4281","9101113b",-66.71211,45.9677,248,248,106,122,163,165,203,219,170,177,333,333,169,189,235,235
"943","C4282","9101113b",-66.71072,45.9675,248,274,120,128,157,159,199,203,179,183,327,327,183,189,221,235
"945","C4284","9101113b",-66.70877,45.96769,248,248,104,128,159,177,203,203,177,183,0,0,183,189,237,239
"947","C4286","9101113b",-66.7376,45.96688,248,254,104,106,161,167,203,211,177,177,333,341,183,189,235,239
"950","C4289","9101113b",-66.70252,45.96596,262,276,120,124,165,177,207,211,177,181,329,341,183,187,235,235
"951","C4290","9101113b",-66.70243,45.96613,262,272,120,122,163,165,207,207,177,185,329,333,179,183,237,237
"961","C4311","9101113b",-66.6734,45.96122,276,276,120,120,155,165,203,219,181,185,333,333,185,187,221,227
"962","C4312","9101113b",-66.67552,45.96243,262,262,120,128,177,177,203,219,170,183,333,333,181,185,239,243
"964","C4314","9101113b",-66.68288,45.96513,248,266,104,106,175,175,211,219,177,183,333,333,187,189,237,239
"968","C4318","9101113b",-66.69072,45.98466,248,258,128,128,163,179,203,203,177,179,339,339,181,183,221,221
"973","C4324","9101113b",-66.70061,46.00626,256,256,104,122,163,177,205,205,177,183,335,341,169,181,227,233
"977","C4334","9101113b",-66.68658,45.98795,254,258,124,128,177,177,205,217,170,187,335,335,183,185,239,239
"983","C4529","9101113b",-66.64878,45.96125,254,280,106,128,163,179,207,207,183,183,335,335,183,187,235,239
"985","C1583","9101113b",-66.8321107,45.9855681,248,282,122,156,163,171,203,211,171,177,329,339,169,189,237,239
"986","C1584","9101113b",-66.8322352,45.9853544,272,282,128,130,163,163,205,217,183,183,333,341,169,181,237,239
"990","C1589","9101113b",-66.8317652,45.9841665,248,248,104,120,165,175,203,217,177,183,333,333,183,185,235,237
"992","C1591","9101113b",-66.8314992,45.9837024,248,258,128,128,163,177,203,211,177,183,329,343,169,185,221,235
"993","C1592","9101113b",-66.831302,45.9834646,248,280,124,156,155,177,205,211,177,183,333,339,173,183,235,239
"995","C1594","9101113b",-66.8313119,45.9828798,258,262,120,156,175,177,203,211,177,181,333,341,185,187,227,237
"997","C1596","9101113b",-66.8313152,45.9824658,248,280,104,120,155,155,203,217,183,183,333,339,169,183,235,235
"1002","C1601","9101113b",-66.8317275,45.9828156,248,276,104,130,155,163,203,207,177,185,333,333,181,185,229,239
"1006","C1605","9101113b",-66.8314974,45.9854034,254,272,122,140,163,171,209,211,177,187,327,335,183,189,221,221
"1011","C1610","9101113b",-66.8314726,45.9866991,276,280,124,130,175,177,205,207,171,183,333,339,169,183,235,237
